Market,Cat_ID,Cat_Name,Parent_ID,Level,Full_Path
쿠팡,C001306,수건선물세트,C001301,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 수건/타월/가운 > 수건선물세트
쿠팡,C001307,스포츠타월,C001301,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 수건/타월/가운 > 스포츠타월
쿠팡,C001308,핸드타월/세수타월,C001301,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 수건/타월/가운 > 핸드타월/세수타월
쿠팡,C001309,헤어타월/헤어터번,C001301,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 수건/타월/가운 > 헤어타월/헤어터번
쿠팡,C001311,욕실잡화,C001299,4,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화
쿠팡,C001310,대야/바가지/양동이,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 대야/바가지/양동이
쿠팡,C001312,목욕가방,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 목욕가방
쿠팡,C001313,목욕바구니,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 목욕바구니
쿠팡,C001314,목욕베개,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 목욕베개
쿠팡,C001315,미끄럼방지매트,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 미끄럼방지매트
쿠팡,C001316,바디브러쉬,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 바디브러쉬
쿠팡,C001317,온습도계,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 온습도계
쿠팡,C001318,욕실디딤대/스탭퍼,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 욕실디딤대/스탭퍼
쿠팡,C001319,욕실발판,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 욕실발판
쿠팡,C001320,욕실용시계,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 욕실용시계
쿠팡,C001321,욕실의자,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 욕실의자
쿠팡,C001322,욕실화,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 욕실화
쿠팡,C001323,욕조매트,C001311,5,생활용품 > 욕실용품 > 욕실용품/잡화 > 욕실잡화 > 욕조매트
쿠팡,C001325,욕조/좌욕/족욕기,C001264,3,생활용품 > 욕실용품 > 욕조/좌욕/족욕기
쿠팡,C001324,욕조/반신욕조,C001325,4,생활용품 > 욕실용품 > 욕조/좌욕/족욕기 > 욕조/반신욕조
쿠팡,C001326,욕조거름망/마개,C001325,4,생활용품 > 욕실용품 > 욕조/좌욕/족욕기 > 욕조거름망/마개
쿠팡,C001327,욕조덮개/커버,C001325,4,생활용품 > 욕실용품 > 욕조/좌욕/족욕기 > 욕조덮개/커버
쿠팡,C001328,족욕기,C001325,4,생활용품 > 욕실용품 > 욕조/좌욕/족욕기 > 족욕기
쿠팡,C001329,좌욕기,C001325,4,생활용품 > 욕실용품 > 욕조/좌욕/족욕기 > 좌욕기
쿠팡,C001332,의료/간호용품,C000557,2,생활용품 > 의료/간호용품
쿠팡,C001331,가정의료용품,C001332,3,생활용품 > 의료/간호용품 > 가정의료용품
쿠팡,C001330,가위/핀셋,C001331,4,생활용품 > 의료/간호용품 > 가정의료용품 > 가위/핀셋
쿠팡,C001333,귀이개 세트,C001331,4,생활용품 > 의료/간호용품 > 가정의료용품 > 귀이개 세트
쿠팡,C001334,기타가정의료용품,C001331,4,생활용품 > 의료/간호용품 > 가정의료용품 > 기타가정의료용품
쿠팡,C001335,멸균면봉/귀이개,C001331,4,생활용품 > 의료/간호용품 > 가정의료용품 > 멸균면봉/귀이개
쿠팡,C001336,반창고/밴드,C001331,4,생활용품 > 의료/간호용품 > 가정의료용품 > 반창고/밴드
쿠팡,C001337,상처소독/연고,C001331,4,생활용품 > 의료/간호용품 > 가정의료용품 > 상처소독/연고
쿠팡,C001338,알콜솜/거즈/붕대,C001331,4,생활용품 > 의료/간호용품 > 가정의료용품 > 알콜솜/거즈/붕대
쿠팡,C001339,약통/구급함,C001331,4,생활용품 > 의료/간호용품 > 가정의료용품 > 약통/구급함
쿠팡,C001340,재생밴드,C001331,4,생활용품 > 의료/간호용품 > 가정의료용품 > 재생밴드
쿠팡,C001341,파스/스프레이파스,C001331,4,생활용품 > 의료/간호용품 > 가정의료용품 > 파스/스프레이파스
쿠팡,C001343,병원/의료용품,C001332,3,생활용품 > 의료/간호용품 > 병원/의료용품
쿠팡,C001342,건강검진용품,C001343,4,생활용품 > 의료/간호용품 > 병원/의료용품 > 건강검진용품
쿠팡,C001344,기타병원용품,C001343,4,생활용품 > 의료/간호용품 > 병원/의료용품 > 기타병원용품
쿠팡,C001345,기타의료기기,C001343,4,생활용품 > 의료/간호용품 > 병원/의료용품 > 기타의료기기
쿠팡,C001346,병원/환자침대,C001343,4,생활용품 > 의료/간호용품 > 병원/의료용품 > 병원/환자침대
쿠팡,C001347,보청기,C001343,4,생활용품 > 의료/간호용품 > 병원/의료용품 > 보청기
쿠팡,C001348,유린백/소변백,C001343,4,생활용품 > 의료/간호용품 > 병원/의료용품 > 유린백/소변백
쿠팡,C001349,응급구조용품,C001343,4,생활용품 > 의료/간호용품 > 병원/의료용품 > 응급구조용품
쿠팡,C001350,저주파치료기,C001343,4,생활용품 > 의료/간호용품 > 병원/의료용품 > 저주파치료기
쿠팡,C001351,적외선치료기,C001343,4,생활용품 > 의료/간호용품 > 병원/의료용품 > 적외선치료기
쿠팡,C001352,청진기,C001343,4,생활용품 > 의료/간호용품 > 병원/의료용품 > 청진기
쿠팡,C001354,환자보조용품,C001332,3,생활용품 > 의료/간호용품 > 환자보조용품
쿠팡,C001353,기브스방수커버,C001354,4,생활용품 > 의료/간호용품 > 환자보조용품 > 기브스방수커버
쿠팡,C001355,세발기,C001354,4,생활용품 > 의료/간호용품 > 환자보조용품 > 세발기
쿠팡,C001356,요강/소변통,C001354,4,생활용품 > 의료/간호용품 > 환자보조용품 > 요강/소변통
쿠팡,C001357,재활운동용품,C001354,4,생활용품 > 의료/간호용품 > 환자보조용품 > 재활운동용품
쿠팡,C001358,환자턱받이/앞치마,C001354,4,생활용품 > 의료/간호용품 > 환자보조용품 > 환자턱받이/앞치마
쿠팡,C001359,휴대용변기,C001354,4,생활용품 > 의료/간호용품 > 환자보조용품 > 휴대용변기
쿠팡,C001361,접착용품,C000557,2,생활용품 > 접착용품
쿠팡,C001360,글루건/심,C001361,3,생활용품 > 접착용품 > 글루건/심
쿠팡,C001362,기타특수접착제,C001361,3,생활용품 > 접착용품 > 기타특수접착제
